Name,Gender
Amy,F
Anita,F
Cora,F
David,M
Georges,M
Karl,M
Katrina,F
Ernesto,M
Arthur,M
Hortense,F
Danny,M
Andrew,M
Joan,F
Gabrielle,F
Marco,M
AL121991,N
AL101993,N
AL101994,N
AL141995,N
Roxanne,F
AL061997,N
AL021999,N
AL012000,N
Leslie,F
Lorenzo,M
AL072002,N
AL072003,N
Nicholas,M
Matthew,M
Maria,F
Nineteen,N
Beta,N
Ingrid,F
Sixteen,N
Ida,F
Igor,M
Tomas,M
Sean,M
Sandy,F
Gonzalo,M
Eleven,N
Paulette,F
Wilfred,M
Caroline,F
Clara,F
Juliet,F
Frederic,M
Danielle,F
Emily,F
Alberto,M
Alicia,F
Cesar,M
Isidore,M
Fabian,M
AL031987,N
Keith,M
Hugo,M
Nana,F
AL021992,N
AL021994,N
Gordon,M
Marilyn,F
Sebastien,M
Alex,M
AL071999,N
AL022000,N
Michael,M
Michelle,F
Hanna,F
AL092003,N
Odette,F
Otto,M
Nate,M
Stan,M
Gamma,N
Melissa,F
Paloma,F
Two,N
Julia,F
Don,M
Kirk,M
Tony,M
Nine,N
Three,N
Rene,F
Eta,N
Doris,F
Evelyn,F
Ana,F
Henri,M
Hermine,F
Floyd,M
Beryl,F
Barry,M
Diana,F
Josephine,F
Isabel,F
AL061988,N
Allison,F
Iris,F
AL041991,N
AL031992,N
AL051994,N
AL061995,N
Noel,F
Tanya,F
Lisa,F
AL111999,N
AL042000,N
Nadine,F
Olga,F
AL142002,N
AL142003,N
Peter,M
Franklin,M
Ophelia,F
Tammy,F
Epsilon,N
Fifteen,N
One,N
Colin,M
Paula,F
Katia,F
Oscar,M
Andrea,F
Joaquin,M
Imelda,F
Sally,F
Theta,N
Belle,F
Amelia,F
Bob,M
Bonnie,F
Ivan,M
Gert,F
Chris,M
Chantal,F
Edouard,M
Klaus,M
Juan,M
Gilbert,M
Erin,F
Jerry,M
Erika,F
AL081992,N
AL081994,N
Humberto,M
Opal,F
Kyle,M
Mitch,M
AL121999,N
AL092000,N
AL022001,N
Cristobal,M
AL022003,N
Larry,M
Gaston,M
Ten,N
Philippe,M
Vince,M
Zeta,N
Ike,M
Fred,M
Five,N
Richard,M
Al202011,N
Patty,F
Dorian,M
Ian,M
Nestor,M
Teddy,M
Iota,N
Gloria,F
Bess,F
Claudette,F
Charley,M
Jeanne,F
Harvey,M
Debby,F
Dean,M
Gustav,M
Lili,F
Kate,F
Isaac,M
Felix,M
Karen,F
AL101991,N
AL011993,N
AL091994,N
Luis,M
Pablo,M
Bill,M
Nicole,F
Lenny,M
Joyce,F
AL092001,N
Fay,F
AL062003,N
Mindy,F
AL102004,N
Lee,M
Rita,F
Wilma,F
AL022006,N
Omar,M
Eight,N
Fiona,F
Shary,F
Rina,F
Rafael,M
Fernand,M
Four,N
Isaias,M
Vicky,F